# Electricidad para la industria (500-2.000 MWh/año), sin impuestos recuperables (IT)
# Unidad: EUR/kWh
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-19T08:17:46+00:00
date,value
2010-07-01,0.1116
2011-01-01,0.1145
2011-07-01,0.1195
2012-01-01,0.1193
2012-07-01,0.1231
2013-01-01,0.1122
2013-07-01,0.1119
2014-01-01,0.108
2014-07-01,0.1052
2015-01-01,0.0943
2015-07-01,0.0919
2016-01-01,0.0841
2016-07-01,0.0879
2017-01-01,0.0829
2017-07-01,0.0813
2018-01-01,0.0892
2018-07-01,0.0885
2019-01-01,0.0952
2019-07-01,0.093
2020-01-01,0.0856
2020-07-01,0.0878
2021-01-01,0.0939
2021-07-01,0.1403
2022-01-01,0.2354
2022-07-01,0.3257
2023-01-01,0.2031
2023-07-01,0.1771
2024-01-01,0.1515
2024-07-01,0.166
2025-01-01,0.1774
2025-07-01,0.168
